RuleID,RuleDescription,Status,Regulator,Tolerance,Population,Failure,GuidanceLink
STUDENT.FundingAndMonitoring.FUNDLENGTH.005.V03,"For Approved (fee cap) providers, the Funding And Monitoring length for funding must be returned. Please note this encompasses the coverage for the parent entity, FundingAndMonitoring.",Outside,5016,0.00%,106,106,https://codingmanual.hesa.ac.uk/22056/FundingAndMonitoring/field/FUNDLENGTH
STUDENT.FundingBody.FUNDINGBODY.008.V02,A higher than expected number of Student course sessions are returned as not fundable (no Funding Body entity returned).,Outside,5016,5 AND 30.00%,106,106,https://codingmanual.hesa.ac.uk/22056/FundingBody/field/FUNDINGBODY
STUDENT.StudentCourseSession.INVOICEHESAID.001.V03,The major source of funding for the students tuition fee must be returned.,Outside,5016,0.00%,106,106,https://codingmanual.hesa.ac.uk/22056/StudentCourseSession/field/INVOICEHESAID
STUDENT.StudentCourseSession.ReferencePeriodStudentLoad.001.V02,A reference period student load entity for the current reference period must exist.,Outside,5016,0.00%,106,106,https://codingmanual.hesa.ac.uk/22056/entity/ReferencePeriodStudentLoad
STUDENT.StudentCourseSession.SCSEXPECTEDENDDATE.001.V01,Expected end date must not be returned by your provider.,Outside,5016,0.00%,106,106,https://codingmanual.hesa.ac.uk/22056/StudentCourseSession/field/SCSEXPECTEDENDDATE
STUDENT.StudyLocation.VENUEID.001.V02,"Where the student is not distance learning and not primarily outside the UK, then Venue identifier must be returned.",Outside,5016,0.00%,106,106,https://codingmanual.hesa.ac.uk/22056/StudyLocation/field/VENUEID
STUDENT.Student.SID.001.V02,Student identifier must pass the Checksum test. Details of the Checksum calculation can be found in the coding manual.,Outside,5016,0.00%,130,103,https://codingmanual.hesa.ac.uk/22056/Student/field/SID/
STUDENT.StudentCourseSession.ReferencePeriodStudentLoad.003.V03,"Where any Student course session activity has taken place and the student is not studying 'Primarily outside the UK', then the total student load so far returned must not equal zero.",Outside,5016,0.00%,85,85,https://codingmanual.hesa.ac.uk/22056/entity/ReferencePeriodStudentLoad
STUDENT.Student.SID.006.V01,"Where the student started before 01-Aug-2022, then student identifier must be 13-characters in length.",Outside,5016,0.00%,67,67,https://codingmanual.hesa.ac.uk/22056/Student/field/SID
STUDENT.Engagement.EntryProfile.001.V01,"No Entry profile entity exists, is this expected?",Outside,5016,0.00%,63,63,https://codingmanual.hesa.ac.uk/22056/entity/EntryProfile
STUDENT.StudentCourseSession.RSNSCSEND.001.V01,"Where the Student Course Session has an end date, then a reason for ending must be returned.",Outside,5016,0.00%,54,54,https://codingmanual.hesa.ac.uk/22056/StudentCourseSession/field/RSNSCSEND
STUDENT.AwardingBodyRole.AWARDINGBODYID.010.V03,"A new awarding body identifier has been added to the qualification associated with the engagement, based on migrated data. Please consider whether a new qualification needs to be created.",Outside,5016,0.00%,43,43,https://codingmanual.hesa.ac.uk/22056/AwardingBodyRole/field/AWARDINGBODYID
STUDENT.FundingAndMonitoring.ELQ.002.V03,"At Approved (fee cap) providers, students on a non-PGR programme who are eligible to pay home fees and not incoming exchange must return an ELQ (Equivalent or lower qualification) code.",Outside,5016,0.00%,40,40,https://codingmanual.hesa.ac.uk/22056/FundingAndMonitoring/field/ELQ
STUDENT.Engagement.QualificationAwarded.001.V02,"Where the student has left with a 'credit or qualification', then a qualification awarded entity must be returned.",Outside,5016,0.00%,39,39,https://codingmanual.hesa.ac.uk/22056/entity/QualificationAwarded
STUDENT.ReferencePeriodStudentLoad.RPSTULOAD.007.V02,"Where there is no activity this student course session, then the session status must indicate dormancy for the whole student course session.",Outside,5016,0.00%,38,38,https://codingmanual.hesa.ac.uk/22056/ReferencePeriodStudentLoad/field/RPSTULOAD
STUDENT.Engagement.RCSTDNT.001.V03,"Where non-incoming exchange students are on a programme of study at postgraduate level (excluding PGCE and PGDE), the Research Council student data must be returned.",Outside,5016,0.00%,36,36,https://codingmanual.hesa.ac.uk/22056/Engagement/field/RCSTDNT
STUDENT.Engagement.NUMHUS.007.V02,"The Engagement (that does not include an Entry profile) has not been submitted previously but the start date is before the Reference period start date. No possible match has been found. (This rule will not apply to new providers, but may do to mergers)",Outside,5016,0.00%,67,34,https://codingmanual.hesa.ac.uk/22056/Engagement/field/NUMHUS
STUDENT.Engagement.NUMHUS.005.V01,An Engagement which was previously active or writing up has not been included in the current submission (a possible match has been identified). I.e. appeared in the Expected engagement population in a previous collection.,Outside,5016,0.00%,53,33,https://codingmanual.hesa.ac.uk/22056/Engagement/field/NUMHUS
STUDENT.Engagement.NUMHUS.006.V01,The Engagement (that does not include an Entry profile) has not been submitted previously but the start date is before the Reference period start date. A possible match has been found.,Outside,5016,0.00%,99,33,https://codingmanual.hesa.ac.uk/22056/Engagement/field/NUMHUS
